Number;Start time in milliseconds;End time in milliseconds;"Text"
358;1092666,6667;1093958,3334;"Idiots, the lot of them."
359;1095041,6667;1098250;"Still, I'm glad of your company,
which could prove handy."
360;1098666,6667;1100833,3334;"I have no doubt
blood will spill here tonight."
361;1100916,6667;1102583,3334;"Ah, save the good Queen's breath."
362;1103875;1105500;"I'm not for hire as a bodyguard."
363;1106500;1108208,3334;"You were hired just so by the bard."
364;1108750;1110625;"I'm helping the idiot free of his coin."
365;1110708,3334;1112583,3334;"[scoffs] And he's the idiot?"
366;1113541,6667;1116875;"I'm simply saying,
surely if all goes to hell here tonight,"
367;1116958,3334;1120416,6667;"I can count on you
to strategically remove certain irritants"
368;1120500;1121958,3334;"that may present themselves?"
369;1123708,3334;1124791,6667;"I'd do so myself,"
370;1124875;1128625;"only I'm bound to uphold an artifice
of decorum and... fairness."
371;1128708,3334;1129541,6667;"Hey."
372;1130250;1131333,3334;"I can't help you."
373;1132125;1134250;"So perilously direct."
374;1135583,3334;1137458,3334;"As Queen, I could command it."
375;1138000;1139833,3334;"If I were one of your subjects."
376;1139916,6667;1143958,3334;"I could torture you so very slowly
into compliance."
377;1144041,6667;1147041,6667;"Her Majesty will do as she wishes.
I'm not for turning."
378;1147125;1148541,6667;"Oh, come now."
379;1148875;1150333,3334;"Everyone has their price."
380;1151541,6667;1154166,6667;"Lord Peregrine of Nilfgaard."
381;1154250;1155583,3334;"[man] Good chance, Peregrine, aah!"
382;1155666,6667;1157000;"[man 2] Go on, Lord Peregrine!"
383;1157083,3334;1158958,3334;"-[bagpipes blare]
-[loud laughter]"
384;1164500;1166041,6667;"[bagpipes blare]"
385;1168791,6667;1170250;"Make another sound, Draig Bon-Dhu,"
386;1170333,3334;1172916,6667;"and I'll have your guts sewn into pipes
and sent to your mother."
387;1174291,6667;1175541,6667;"[Lord Peregrine] Queen Calanthe,"
388;1175625;1179750;"my marriage to your daughter will unite
the jewels of the north and south,"
389;1179833,3334;1182583,3334;"forging an unbreakable alliance
that none would dare cross."
390;1183125;1184125;"And..."
391;1184208,3334;1186500;"I am one of five brothers with no sisters."
392;1186916,6667;1191083,3334;"My potent seed inside Pavetta will produce
the strongest of male heirs."
393;1196208,3334;1198833,3334;"[Calanthe] 
Cintra is indeed the jewel of the north,"
394;1199625;1203791,6667;"yet Nilfgaard remains the shit rag
of the south, and that's saying something!"
395;1203875;1205666,6667;"[laughter and jeering]"
396;1206708,3334;1210291,6667;"Tell me, is it true you drink piss water
and feast on your own young?"
397;1210375;1212208,3334;"[laughter and applause]"
398;1213375;1216208,3334;"Nilfgaardian kings don't remain kings
for long."
399;1216875;1219333,3334;"Who will take the Usurper's crown? You?"
400;1219416,6667;1220666,6667;"How long will you last?"
401;1220750;1222791,6667;"A year? A month? A day?"
402;1222875;1224750;"[cheering]"
403;1229583,3334;1231708,3334;"Lord Steergart of Kaedwen."
404;1232125;1234125;"[cheering and stamping]"
405;1236833,3334;1238416,6667;"[neighing]"
406;1245208,3334;1248666,6667;"I know what they say,
"Poor Queen Kalis, another girl.""
407;1249541,6667;1251916,6667;"-[baby coos]
-I mean, I'm just a womb to him."
408;1252500;1255333,3334;"No more than a fleshy contraption
for squeezing out heirs."
409;1255416,6667;1257500;"Bastard cares more about his hounds
than he does me."
410;1260458,3334;1261291,6667;"Take her."
411;1263208,3334;1265416,6667;"-Shh.
-[baby gurgling]"
412;1266500;1268750;"Why don't you stay in Lyria?
Keep me company."
413;1269625;1272208,3334;"As soon as I've delivered Your Majesty
safely back to court,"
414;1272291,6667;1273791,6667;"I'm afraid I must return to Aedirn."
415;1275500;1277333,3334;"I envy you. Truly."
416;1278916,6667;1280083,3334;"A king's mage."
417;1280791,6667;1282750;"-How splendid!
-[baby cries]"
418;1282833,3334;1283708,3334;"Oh!"
419;1290250;1293875;"Oh, come, now. We've been traveling
together for days. Speak freely."
420;1297166,6667;1298541,6667;"I love..."
421;1298625;1301625;"that I traded everything
to get my seat at court."
422;1304416,6667;1306416,6667;"I love that I believed
that it would all be worth it,"
423;1306500;1307833,3334;"that this would be my legacy."
424;1308333,3334;1310666,6667;"The greatest mage
to have ever graced a court."
425;1313916,6667;1316291,6667;"And I really, really love..."
426;1316791,6667;1319625;"that instead,
I've gotten to spend the last..."
427;1320208,3334;1321791,6667;"three decades"
428;1321875;1324500;"cleaning up stupid political messes."
429;1326291,6667;1328500;"Glorified royal arse wiper."
430;1331958,3334;1333125;"[sighs]"
431;1335541,6667;1336750;"I have it far worse."
432;1339083,3334;1343333,3334;"People look at you for who you are,
not for what you can give them."
433;1345333,3334;1347708,3334;"You made the right choice,
giving all that nonsense up."
434;1349750;1352375;"To this baby, I am the whole world."
435;1354000;1355500;"If only it weren't so boring."
436;1356500;1358333,3334;"[horse neighs]"
437;1359916,6667;1360791,6667;"[gasps]"
438;1362041,6667;1363583,3334;"[man shouts] Who is that--"
439;1363666,6667;1365791,6667;"-[men groaning]
-[weapons clashing]"
440;1365875;1368000;"-[thump]
-[neighing]"
441;1368500;1370041,6667;"[screaming]"
442;1373625;1375500;"-[weapons clashing]
-[blows landing]"
443;1375583,3334;1376458,3334;"[man yelling]"
444;1387291,6667;1389291,6667;"[Kalis screaming]"
445;1395125;1396625;"[screams]"
446;1406000;1407375;"[whimpering]"
447;1410291,6667;1411833,3334;"[gasping]"
448;1415500;1416750;"[chittering]"
449;1416833,3334;1418083,3334;"[snarling]"
450;1418166,6667;1419500;"[squealing]"
451;1419583,3334;1421125;"-Run!
-[sobbing]"
452;1421708,3334;1423458,3334;"[Kalis screaming]"
453;1428958,3334;1430208,3334;"Go!"
454;1431291,6667;1433208,3334;"[screeching]"
455;1434958,3334;1436875;"-[screaming]
-Run!"
456;1440833,3334;1442500;"[baby crying]"
457;1445666,6667;1447125;"[gasping]"
458;1449625;1451333,3334;"I'll have that brigand's head on a pike"
459;1451416,6667;1453458,3334;"outside the King's castle 
before nightfall."
460;1453958,3334;1454875;"How dare he?"
461;1454958,3334;1456083,3334;"That was an assassin,"
462;1456583,3334;1457583,3334;"not a brigand."
463;1458291,6667;1459333,3334;"What are you saying?"
464;1459958,3334;1461291,6667;"He was paid to kill you."
465;1462666,6667;1463500;"What?"
466;1464708,3334;1465541,6667;"Why?"
467;1465625;1469250;"It appears you've run out of chances
to provide your King a male heir."
468;1470750;1471750;"No, he wouldn't."
469;1475375;1476833,3334;"-Oh, that prick!
-[whooshing]"
470;1477750;1478625;"-[screams]
-Go!"
471;1478708,3334;1479833,3334;"[screeching]"
472;1486500;1488125;"-Go!
-[yells]"
473;1493250;1494208,3334;"[screams]"
474;1497750;1499041,6667;"[baby crying]"
475;1503000;1504208,3334;"We're being tracked!"
476;1506791,6667;1509958,3334;"Think! What did the King give you
that could be traced?"
477;1510041,6667;1511291,6667;"[whooshing]"
478;1513208,3334;1514208,3334;"-[screams]
-Come on!"
479;1520625;1521666,6667;"[screams]"
480;1521750;1522958,3334;"[speaking Elder]"
481;1524166,6667;1525583,3334;"[screams]"
482;1530791,6667;1531916,6667;"I can't hold it!"
483;1532375;1533833,3334;"Hurry!"
484;1533916,6667;1535333,3334;"[screams]"
485;1537833,3334;1539750;"-[screams]
-[screeches]"
486;1545875;1547416,6667;"[baby wailing]"
487;1548500;1549750;"[whooshing]"
488;1555083,3334;1556583,3334;"They're still tracking us."
489;1557416,6667;1558625;"[groans]"
490;1562333,3334;1563708,3334;"[sobbing]"
491;1564041,6667;1565083,3334;"[groans]"
492;1565166,6667;1566458,3334;"Get up, you useless witch."
493;1567958,3334;1570583,3334;"How could you not foresee this?
You were supposed to protect me."
494;1571958,3334;1573208,3334;"[screams]"
495;1581083,3334;1582458,3334;"[creature snarling]"
496;1590250;1592416,6667;"Oh, you horrible, useless bitch!"
497;1595541,6667;1596583,3334;"[sobs]"
498;1597458,3334;1598583,3334;"[groans]"
499;1607958,3334;1610250;"♪ Oh, fishmonger, oh, fishmonger ♪"
500;1610625;1615000;"♪ Come quell your daughter's hunger ♪"
501;1615416,6667;1618541,6667;"-♪ To pull on my horn ♪
-[all clapping in time]"
502;1618625;1621083,3334;"♪ As it rises in the morn ♪"
503;1621166,6667;1623500;"♪ For 'tis naught but bad luck ♪"
504;1623583,3334;1625375;"♪ To fuck with a puck ♪"
505;1625458,3334;1627208,3334;"♪ Lest your grandkid be born ♪"
506;1627291,6667;1630333,3334;"♪ A hairy young faun ♪"
507;1630416,6667;1633083,3334;"♪ Bleating and braying all day, hey ho ♪"
508;1633166,6667;1635583,3334;"♪ The fishmonger's daughter, ba, ba ♪"
509;1636250;1639375;"How much more of this peacocking
must I endure?"
510;1640708,3334;1641625;"This..."
