index;season_no;episode_no;episode_name;Character;Text
188;1;1;A Grain of Truth;Calanthe;...in fealty to the crown of Cintra.
189;1;1;A Grain of Truth;;[sighs]
190;1;1;A Grain of Truth;Eist;[sighs]  At least you didn't shit your kecks.
191;1;1;A Grain of Truth;Calanthe;As members of the Royal Family,
192;1;1;A Grain of Truth;Calanthe;is it too much to ask that you exercise a modicum of respect?
193;1;1;A Grain of Truth;Calanthe;Especially you.
194;1;1;A Grain of Truth;Calanthe;This is your duty as king and grandfather.
195;1;1;A Grain of Truth;;[King sighs]
196;1;1;A Grain of Truth;Eist;Grant me leave, my Queen. I am worn from my trip to the Isles.
197;1;1;A Grain of Truth;Eist;And my bedchamber duties before that.
198;1;1;A Grain of Truth;Ciri;Gross.
199;1;1;A Grain of Truth;;[chuckles]
200;1;1;A Grain of Truth;Calanthe;As your Queen,
201;1;1;A Grain of Truth;Calanthe;I grant you this commendation,
202;1;1;A Grain of Truth;Calanthe;which will symbolize your duty and bond...
203;1;1;A Grain of Truth;Stregobor;[Stregobor] Destiny has many faces, Witcher.
204;1;1;A Grain of Truth;Stregobor;Mine, for example, is beautiful on the outside, but...
205;1;1;A Grain of Truth;Stregobor;hideous on the inside.
206;1;1;A Grain of Truth;Stregobor;She has stretched her bloody talons towards me.
207;1;1;A Grain of Truth;Geralt;Wizards are all the same.
208;1;1;A Grain of Truth;Geralt;You talk nonsense while making wise and meaningful faces.
209;1;1;A Grain of Truth;Geralt;Speak normally.
210;1;1;A Grain of Truth;Stregobor;Have you ever heard of the...
211;1;1;A Grain of Truth;Geralt;Curse of the Black Sun?
212;1;1;A Grain of Truth;Stregobor;First full eclipse in 1,200 years.
213;1;1;A Grain of Truth;Stregobor;It marked the imminent return of Lilit,
214;1;1;A Grain of Truth;Stregobor;demon goddess of the night sent to exterminate the human race.
215;1;1;A Grain of Truth;Stregobor;According to the wise mage Eltibald,
216;1;1;A Grain of Truth;Stregobor;Lilit's path was to be prepared by 60 women wearing gold crowns
217;1;1;A Grain of Truth;Stregobor;who'd fill the river valleys with blood.
218;1;1;A Grain of Truth;Geralt;Hm.
219;1;1;A Grain of Truth;Geralt;Doesn't rhyme.
220;1;1;A Grain of Truth;Geralt;All good predictions rhyme.
221;1;1;A Grain of Truth;Stregobor;I studied the girls born around the Black Sun,
222;1;1;A Grain of Truth;Stregobor;and I found horrendous internal mutations among them.
223;1;1;A Grain of Truth;Stregobor;I tried to cure them,
224;1;1;A Grain of Truth;Stregobor;locked them in towers for safekeeping,
225;1;1;A Grain of Truth;Stregobor;but the girls always died.
226;1;1;A Grain of Truth;Geralt;Internal mutations?
227;1;1;A Grain of Truth;Stregobor;They were autopsied, of course, to confirm my suspicions.
228;1;1;A Grain of Truth;Stregobor;But eliminating these women was the lesser evil.
229;1;1;A Grain of Truth;Stregobor;They could've drowned entire kingdoms in blood.
230;1;1;A Grain of Truth;Stregobor;If you'd been alive during Falka's Rebellion, seen what I saw--
231;1;1;A Grain of Truth;Geralt;Innocent women are dead.
232;1;1;A Grain of Truth;Geralt;Hm.
233;1;1;A Grain of Truth;Geralt;But not Renfri, the beautiful one.
234;1;1;A Grain of Truth;Geralt;She's after you.
235;1;1;A Grain of Truth;Stregobor;Daughter of King Fredefalk of Creyden.
236;1;1;A Grain of Truth;Stregobor;I delivered the princess myself in the middle of the afternoon
237;1;1;A Grain of Truth;Stregobor;in pitch black.
238;1;1;A Grain of Truth;Geralt;Under the Black Sun, so... she's cursed.
239;1;1;A Grain of Truth;Stregobor;Do you consider me a fool, Witcher?
240;1;1;A Grain of Truth;Stregobor;Do you think I did not conduct research? Renfri was acutely affected.
241;1;1;A Grain of Truth;Stregobor;Her stepmother, Aridea, told me she tortured a canary,
242;1;1;A Grain of Truth;Stregobor;strangled two puppies,
243;1;1;A Grain of Truth;Stregobor;even gouged out her maid's eye with a comb.
244;1;1;A Grain of Truth;Stregobor;I admit what happened next was not ideal, but...
245;1;1;A Grain of Truth;Stregobor;with the lives of Aridea's own children on the line, we had to act.
246;1;1;A Grain of Truth;Stregobor;So I dispatched someone to follow Renfri into the woods.
247;1;1;A Grain of Truth;Stregobor;We found him in the brush,
248;1;1;A Grain of Truth;Stregobor;Renfri's antique brooch jammed into his ear.
249;1;1;A Grain of Truth;Stregobor;After that, I organized a manhunt to find the princess, but... eh...
250;1;1;A Grain of Truth;Stregobor;she was gone.
251;1;1;A Grain of Truth;Stregobor;Two years.
252;1;1;A Grain of Truth;Stregobor;Until she reappeared,
253;1;1;A Grain of Truth;Stregobor;robbing and murdering merchants on the roads of Mahakam.
254;1;1;A Grain of Truth;Stregobor;Impaled them on sticks at first, but soon,
255;1;1;A Grain of Truth;Stregobor;she picked up sword skills.
256;1;1;A Grain of Truth;Stregobor;And now no man can defy her, it's said.
257;1;1;A Grain of Truth;Geralt;You're not a man. You're a magician.
258;1;1;A Grain of Truth;Stregobor;She's resistant to magic.
259;1;1;A Grain of Truth;Geralt;That's impossible in humans.
260;1;1;A Grain of Truth;Stregobor;Not...
261;1;1;A Grain of Truth;Stregobor;mutated ones.
262;1;1;A Grain of Truth;Stregobor;She's chased me for years, bent on revenge.
263;1;1;A Grain of Truth;Stregobor;And now she's tracked me here, just as you arrived.
264;1;1;A Grain of Truth;Stregobor;Destiny.
265;1;1;A Grain of Truth;Stregobor;Kill her.
266;1;1;A Grain of Truth;Stregobor;I'll pay you anything.
267;1;1;A Grain of Truth;Geralt;I kill monsters.
268;1;1;A Grain of Truth;Stregobor;The kikimora kills because it's hungry, Renfri kills for pleasure.
269;1;1;A Grain of Truth;Stregobor;She is a monster. She is the last of Lilit's women.
270;1;1;A Grain of Truth;Stregobor;And she possesses the power to destroy us all.
271;1;1;A Grain of Truth;Geralt;I don't believe anyone has that power.
272;1;1;A Grain of Truth;Stregobor;With the fate of the Continent at stake, is that a chance you're willing to take?
